id;city_name;lgd_code;created_on;created_by;deleted;last_modified;last_modified_by
1;aggregate;71215;2023-02-07T07:58:29;Soft;Salad Illinois;2023-02-08T01:37:11;Fresh copying
2;Functionality;99472;2023-02-08T01:40:54;programming Rubber;Global Buckinghamshire;2023-02-07T17:49:15;eyeballs Operations
3;Dynamic Cambridgeshire Director;8102;2023-02-07T08:52:41;Car Outdoors reboot;deposit Dinar Fresh;2023-02-08T03:31:05;Nicaragua
4;primary Concrete;92172;2023-02-07T14:23:06;Argentine Rustic Division;Chair;2023-02-07T15:09:04;British Mobility multi-byte
5;leverage;11261;2023-02-07T06:49:23;Vision-oriented;Future reintermediate magenta;2023-02-07T20:04:56;Sheqel International
6;Buckinghamshire Fresh regional;24288;2023-02-08T02:04:37;Lodge;back-end;2023-02-07T17:12:21;Pizza
7;hacking;24785;2023-02-07T20:06:19;budgetary copy;Georgia initiatives Plastic;2023-02-07T19:39:53;Radial Soap
8;Jewelery Lats mobile;36311;2023-02-08T04:33:48;reboot mobile;Metal;2023-02-07T18:11:48;Licensed
9;Director clicks-and-mortar;73691;2023-02-07T22:01:50;Representative transmitting Cambridgeshire;Frozen navigating;2023-02-07T17:43:31;Granite
10;fuchsia TCP;39593;2023-02-07T18:18:18;one-to-one Reduced incremental;Developer capacitor;2023-02-07T19:25:20;Legacy
