id;department_name;description;last_modified;last_modified_by;created_by;created_on;deleted
1;Virtual;wireless bus Tools;2023-02-07T16:46:43;4th metrics;open-source;2023-02-08T02:36:26;true
2;Electronics Representative web-readiness;e-markets Awesome;2023-02-07T11:54:07;solution-oriented set;maximize;2023-02-07T17:46:16;false
3;application;hour channels Granite;2023-02-08T03:34:35;Brand;Alabama;2023-02-07T22:04:01;true
4;Universal Rubber;South;2023-02-07T20:18:01;withdrawal;Computer;2023-02-07T12:53:45;false
5;web-enabled 1080p Steel;azure;2023-02-07T08:51:03;multi-byte;Account mint;2023-02-07T17:39:56;false
6;Orchestrator;copy payment;2023-02-08T04:50:42;Clothing USB RAM;Berkshire quantifying Sausages;2023-02-08T01:10:15;false
7;Account;intuitive;2023-02-07T07:12:10;Lithuania 24/7 Fresh;New;2023-02-07T20:55:55;false
8;synergistic national Estate;Tuna Shoes Hong;2023-02-07T14:42:25;experiences Fresh;Dinar Soft;2023-02-07T14:20:35;true
9;Arkansas Panama Pants;website networks;2023-02-07T06:41:07;Namibia Designer solid;hacking;2023-02-08T03:27:21;true
10;Regional;visualize Tasty;2023-02-07T17:42:29;navigate Product online;black deposit;2023-02-08T00:36:17;false
