id;designation_name;description;last_modified;last_modified_by;created_by;created_on;deleted
1;Liaison alarm Market;payment;2023-02-07T10:11:40;withdrawal deposit;haptic Unbranded;2023-02-07T20:06:50;true
2;and;set;2023-02-07T10:27:09;Miquelon Soft Rest;visualize;2023-02-08T02:02:09;false
3;payment;quantifying;2023-02-07T19:21:14;silver hacking;Lead;2023-02-07T08:16:10;false
4;scalable back-end Berkshire;Haven;2023-02-07T19:11:29;Dynamic Centers;calculating Account plum;2023-02-08T00:32:15;false
5;Crossroad salmon Implementation;USB;2023-02-07T12:42:19;bypassing Multi-lateral;RAM;2023-02-07T13:12:03;false
6;Fresh;mobile Forge;2023-02-07T13:50:17;Beauty e-business Account;optical info-mediaries;2023-02-07T14:05:47;true
7;parallelism;seamless;2023-02-07T20:50:33;New;Granite Dynamic;2023-02-07T08:15:06;false
8;Concrete;data-warehouse;2023-02-07T14:17:03;Pizza Manat mesh;Central Shirt;2023-02-08T05:20:48;false
9;Jamaica;calculate;2023-02-07T21:50:11;Games Brooks transform;Salad;2023-02-07T14:32:05;false
10;Islands Hawaii 24/7;Savings Product;2023-02-07T15:02:08;Bike Baby;intelligence Kyat SAS;2023-02-07T17:51:06;true
