id;leave_type;balance_leave;no_of_days;reason;year;form_date;to_date;status;leave_status;last_modified;last_modified_by;created_by;created_on;deleted
1;Accounts withdrawal;66828;66137;Corporate Account;17943;2023-02-07T23:39:20;2023-02-07T15:37:55;ACTIVE;AVAILED;2023-02-08T00:00:41;compressing virtual Rustic;AI multi-byte;2023-02-07T15:53:08;true
2;Pound Hampshire;64143;21628;withdrawal;15588;2023-02-07T22:39:33;2023-02-07T16:30:06;INACTIVE;APPROVED;2023-02-08T03:30:55;Georgia Producer markets;interface;2023-02-07T18:59:21;true
3;quantify experiences;14034;41447;IB;207;2023-02-07T14:33:33;2023-02-07T15:33:32;ACTIVE;APPROVED;2023-02-07T16:16:25;SMTP deposit;Implementation;2023-02-08T03:37:12;false
4;Bedfordshire Small;90008;64337;Buckinghamshire input;91717;2023-02-07T14:11:09;2023-02-08T05:57:02;INACTIVE;CANCELLED;2023-02-07T07:47:26;silver Assistant Card;strategize human-resource quantify;2023-02-07T21:34:58;false
5;Enhanced;23399;77068;primary Analyst;13577;2023-02-07T13:12:33;2023-02-07T12:02:31;INACTIVE;PENDING;2023-02-07T08:33:04;input deposit;payment niches;2023-02-07T10:13:43;false
6;Team-oriented;48170;93754;Rupiah Kwanza;53230;2023-02-07T20:13:10;2023-02-07T17:47:54;INACTIVE;REJECTED;2023-02-07T20:36:38;Liaison;Pa'anga payment Peso;2023-02-07T11:20:38;false
7;South synthesizing;42157;69796;Tasty Account;58306;2023-02-07T10:23:54;2023-02-07T07:36:24;INACTIVE;PENDING;2023-02-07T16:08:08;Cotton Namibia;Reduced synergies;2023-02-07T23:04:47;true
8;payment;81259;5036;quantify;62909;2023-02-07T12:31:28;2023-02-07T07:54:40;ACTIVE;REJECTED;2023-02-07T22:57:11;Netherlands Developer;deposit Senior;2023-02-07T12:11:35;true
9;Car;11389;32269;Representative;18975;2023-02-07T11:57:08;2023-02-07T23:32:01;INACTIVE;REJECTED;2023-02-08T04:58:45;Arab strategize Berkshire;port;2023-02-08T05:57:45;false
10;invoice Berkshire;10957;16057;Colorado;14373;2023-02-07T10:53:23;2023-02-07T10:40:13;INACTIVE;PENDING;2023-02-07T18:58:00;AI PCI index;matrices;2023-02-07T14:33:03;true
