id;leave_type;is_carry_forword;employee_type;gender_leave;status;total_leave;max_leave;haspro_rata_leave;description;last_modified;last_modified_by;created_by;created_on;deleted
1;schemas;true;TEMPORARY;FOR_ALL;ACTIVE;Pennsylvania Account Refined;parsing;false;Tasty Congolese Corporate;2023-02-07T06:34:46;gold Bedfordshire;Loan;2023-02-07T10:41:45;false
2;PCI Coordinator;true;PERMANENT;FOR_ALL;ACTIVE;lime;interfaces Internal;false;Virtual 24/365 Dynamic;2023-02-07T07:43:10;Generic;Executive of Account;2023-02-07T13:46:21;true
3;feed compress Consultant;false;CONTRACT;FOR_ALL;INACTIVE;indigo solutions applications;Steel;true;Beauty;2023-02-08T01:10:40;input;Dong cross-platform Fish;2023-02-07T09:30:28;false
4;Chair;true;PERMANENT;MALE_ONLY;ACTIVE;index Tasty Lebanese;Utah;true;drive generating Quality;2023-02-07T15:03:19;Rubber;e-business Shoes;2023-02-08T06:01:54;true
5;Forward mobile Estates;false;TEMPORARY;MALE_ONLY;ACTIVE;Frozen Tasty Spur;Operations Customer gold;true;multi-byte plum;2023-02-08T05:10:00;functionalities Agent transmitter;Future;2023-02-07T17:30:22;false
6;JSON;true;PERMANENT;FEMALE_ONLY;INACTIVE;Cheese;Cambridgeshire Handmade Account;false;Plastic Shoes Nepal;2023-02-07T10:48:05;hack index;THX bottom-line standardization;2023-02-08T05:30:48;true
7;back-end Tuna;true;TEMPORARY;MALE_ONLY;INACTIVE;morph Borders;Burundi Music solution;false;Keyboard Peso;2023-02-07T08:22:19;Avon Street feed;quantifying Functionality Chair;2023-02-07T09:24:55;false
8;Vanuatu mobile;true;PERMANENT;MALE_ONLY;INACTIVE;Optimization;Cambridgeshire Associate;false;deposit;2023-02-08T04:30:56;Plastic Bhutan Profound;deposit optimal;2023-02-07T15:36:30;true
9;Expanded;false;CONTRACT;FOR_ALL;ACTIVE;impactful Soft;Computers Buckinghamshire;true;Zloty;2023-02-08T01:01:16;invoice;Account Integration program;2023-02-07T21:14:14;true
10;Cuban Computer Grocery;true;TRAINEE;MALE_ONLY;INACTIVE;payment Soap;Franc seamless;false;Frozen Pound Saint;2023-02-08T05:05:08;utilize Global;Fish;2023-02-07T12:17:20;false
