id;leave_type;emp_id;month_date;status;year;last_modified;last_modified_by;created_by;created_on;deleted
1;methodologies Wells;withdrawal transitional;2023-02-08T04:29:22;INACTIVE;63098;2023-02-07T21:26:39;invoice;Administrator;2023-02-07T06:53:19;true
2;Account time-frame Intelligent;withdrawal;2023-02-08T04:55:13;INACTIVE;3035;2023-02-07T22:46:40;solutions facilitate;Plaza ability reboot;2023-02-07T21:46:24;true
3;Architect contingency;Central invoice;2023-02-07T08:28:37;ACTIVE;57316;2023-02-07T23:04:10;USB;USB TCP;2023-02-08T03:48:50;false
4;Sausages Future;backing;2023-02-07T06:43:29;INACTIVE;24960;2023-02-08T06:00:36;SCSI;local Chair Gloves;2023-02-07T07:53:10;true
5;extend invoice Berkshire;wireless Shoal;2023-02-08T04:08:11;ACTIVE;26388;2023-02-07T09:54:46;Salad;Officer;2023-02-08T02:44:46;true
6;Knoll interfaces;online feed;2023-02-07T21:44:57;INACTIVE;60233;2023-02-08T01:39:42;Barbados;deposit calculating Engineer;2023-02-07T06:38:56;true
7;Engineer;calculate Principal;2023-02-08T05:05:29;INACTIVE;70583;2023-02-08T01:41:17;application Horizontal;Quality invoice Cambridgeshire;2023-02-07T18:23:30;false
8;success Lane;Ruble Synergized killer;2023-02-07T23:45:39;INACTIVE;19699;2023-02-07T09:05:21;Associate Federation;quantifying;2023-02-07T13:29:34;true
9;Franc bleeding-edge;Ergonomic out-of-the-box;2023-02-07T21:06:40;ACTIVE;69746;2023-02-07T13:35:12;Gourde Borders Italy;intuitive;2023-02-07T23:13:36;true
10;Loan;Sausages;2023-02-07T18:03:31;INACTIVE;81989;2023-02-08T00:49:15;Dram;tan;2023-02-07T19:28:39;false
