id;team_member_type;project_id;employe_id;last_modified;last_modified_by;created_by;created_on;is_deleted;company_id
1;utilisation mobile;72239;26930;2023-02-07T07:21:18;Wooden Cotton;methodologies Missouri Pennsylvania;2023-02-07T13:43:56;true;23491
2;Colon;45591;77636;2023-02-07T23:33:36;Cheese array fuchsia;Romania;2023-02-07T18:48:31;true;29832
3;Avon;35185;48130;2023-02-07T11:40:40;Wooden;best-of-breed Ball;2023-02-07T20:36:42;false;87715
4;Clothing;48317;76362;2023-02-07T13:07:28;bandwidth;back;2023-02-07T19:51:18;true;17609
5;Frozen e-business Interactions;38033;30877;2023-02-07T22:51:16;bluetooth;throughput;2023-02-08T01:09:27;false;18933
6;Centers overriding;22954;53423;2023-02-07T20:56:35;Designer protocol Fresh;Vermont portal;2023-02-07T10:46:32;false;41940
7;deposit leading-edge;50815;22708;2023-02-07T06:16:50;Central CFA;withdrawal Berkshire;2023-02-07T15:49:40;true;36456
8;Mexico Alaska;54046;39088;2023-02-07T18:19:57;Communications solid Steel;info-mediaries blue;2023-02-07T06:17:19;false;22595
9;Bhutanese Producer;45937;48629;2023-02-07T11:46:20;Bacon Car Western;transmitting Research Cambridgeshire;2023-02-07T19:45:57;false;12897
10;users Cambridgeshire;4297;99045;2023-02-07T20:54:56;wireless Brooks;Cambridgeshire Aruban;2023-02-07T11:12:07;false;99372
