id;region_name;description;created_on;created_by;deleted;last_modified;last_modified_by
1;International Practical;Jordanian;2023-02-07T16:42:23;Usability;schemas;2023-02-07T23:37:05;Soap
2;Springs;methodical;2023-02-07T14:52:36;Computer Baby PNG;California;2023-02-07T08:32:32;New state SCSI
3;optical;Virginia Small;2023-02-07T15:09:58;Mouse models;withdrawal mobile;2023-02-08T03:21:34;bandwidth radical
4;calculate Mexico;maroon teal;2023-02-07T06:56:22;Fish;synergies deposit;2023-02-07T11:15:08;incremental
5;up;Colorado Connecticut;2023-02-07T17:20:27;backing Wooden Bedfordshire;Borders;2023-02-08T03:22:22;haptic Garden magenta
6;plum reciprocal;deposit Dinar;2023-02-07T18:10:23;global;Hat matrix;2023-02-07T07:42:24;National Ball
7;deposit;Aruba Rhode;2023-02-08T06:05:53;blue monetize SDD;state web-enabled;2023-02-07T21:22:21;Tuna Exclusive
8;Berkshire;Future Oregon;2023-02-07T07:23:17;Cambridgeshire;target hardware portals;2023-02-08T05:50:33;transitional vertical
9;Baby Bike;UIC-Franc;2023-02-07T11:06:57;Accountability digital;e-markets Games interfaces;2023-02-07T17:36:53;Car quantify
10;haptic Chicken;Loan challenge;2023-02-07T21:10:31;deposit hack;connect Tools;2023-02-07T16:07:01;connect synthesizing synthesizing
