id;da;hra;employeeshare;companyshare;salary_from;salary_to;last_modified;last_modified_by;created_by;created_on;deleted
1;90856;37387;70291;26242;2023-02-07T07:31:33;2023-02-07T11:11:46;2023-02-07T11:34:45;Account blockchains Intelligent;platforms;2023-02-07T15:48:43;true
2;47911;70996;60495;2629;2023-02-07T12:20:46;2023-02-07T18:53:18;2023-02-07T11:04:31;hacking tan;Steel;2023-02-07T10:35:49;true
3;6931;13072;90433;71433;2023-02-07T22:05:42;2023-02-07T10:05:52;2023-02-08T05:48:31;Florida Street;Account North Comoros;2023-02-07T21:03:30;false
4;43033;53472;35337;28285;2023-02-07T07:55:19;2023-02-07T19:07:56;2023-02-07T14:02:48;Fantastic Washington;View Islands envisioneer;2023-02-08T02:12:08;true
5;83457;27287;89271;7711;2023-02-07T23:12:28;2023-02-07T15:27:44;2023-02-08T05:15:35;Identity Avon Producer;Account;2023-02-07T13:05:19;false
6;59114;63336;49359;61647;2023-02-07T07:01:04;2023-02-08T05:24:42;2023-02-07T07:34:26;programming;Bedfordshire Tennessee;2023-02-07T06:54:47;false
7;98470;77183;45424;20455;2023-02-08T03:01:06;2023-02-07T14:14:42;2023-02-07T20:32:01;e-business Mouse quantify;navigate;2023-02-07T18:10:56;true
8;50054;78625;84069;96374;2023-02-07T16:23:51;2023-02-07T19:09:59;2023-02-08T00:39:02;Licensed next-generation virtual;Identity;2023-02-07T21:46:52;true
9;9530;7046;44804;40434;2023-02-07T19:08:20;2023-02-07T11:42:58;2023-02-07T18:39:38;deposit Ranch;web-enabled;2023-02-08T02:09:48;true
10;50390;48567;37709;26714;2023-02-07T17:17:57;2023-02-08T04:56:04;2023-02-07T13:47:21;Intranet Saint;grid-enabled visionary ADP;2023-02-07T16:00:54;false
