id;state_name;lgd_code;created_on;created_by;deleted;last_modified;last_modified_by
1;salmon;86960;2023-02-07T16:31:12;Object-based RSS;withdrawal;2023-02-07T15:21:57;Buckinghamshire
2;Direct;16875;2023-02-07T11:02:45;Borders transmitter;Account Auto;2023-02-07T22:49:44;Maryland
3;Infrastructure Awesome compressing;80355;2023-02-08T00:34:25;global Games;forecast;2023-02-07T14:35:30;Fresh transmitting
4;Tactics International Multi-layered;45218;2023-02-07T11:24:50;clear-thinking Product;payment Jewelery process;2023-02-07T10:17:49;Flat
5;Wooden microchip TCP;84631;2023-02-07T10:35:26;Union Configuration;matrix;2023-02-08T04:38:51;parse hacking
6;Product Jewelery Borders;78423;2023-02-08T01:51:37;real-time;Outdoors navigate New;2023-02-08T03:24:18;invoice paradigms Rubber
7;programming mobile;26482;2023-02-07T06:40:25;bypassing Facilitator;Point;2023-02-07T22:45:44;Tokelau Re-contextualized
8;portal invoice Dakota;82189;2023-02-08T01:44:03;Berkshire;Prairie Total Mexico;2023-02-07T13:11:42;Customer generating
9;COM;31715;2023-02-07T18:36:15;and Steel;Landing;2023-02-07T06:25:10;Kentucky port Loan
10;Clothing Metal Plastic;66037;2023-02-08T00:57:23;USB Liechtenstein Outdoors;Fantastic Automotive;2023-02-08T04:54:33;yellow Assistant
