id;taluka_name;lgd_code;created_on;created_by;deleted;last_modified;last_modified_by
1;lavender Metal interfaces;1480;2023-02-08T00:32:25;Rapids multi-byte Customer;customized optical quantifying;2023-02-07T08:28:20;Account
2;orchestrate;39193;2023-02-08T01:09:13;Awesome Fish;Legacy;2023-02-07T11:35:58;unleash
3;Profound enable sensor;56968;2023-02-07T13:11:34;Strategist index;Tennessee cyan;2023-02-07T18:11:49;Coordinator Technician
4;portals Cambridgeshire extend;81823;2023-02-07T22:33:36;Generic magenta;Kuwait;2023-02-07T15:22:28;Chips synthesizing
5;Officer;52605;2023-02-07T11:37:03;Central compress Belgium;deposit invoice Consultant;2023-02-07T07:50:47;navigating Pre-emptive blue
6;Soft Central;65901;2023-02-07T10:58:55;Seamless indigo payment;Health Outdoors Quetzal;2023-02-07T22:01:58;Qatari
7;Analyst;27627;2023-02-07T16:08:34;orange Mobility project;mindshare Producer;2023-02-07T10:08:10;invoice Home Bahrain
8;input;47415;2023-02-07T19:59:46;digital redundant;leading-edge;2023-02-07T17:54:17;Beauty
9;Integration reboot Awesome;86093;2023-02-07T14:36:15;bluetooth;Branch tan Rial;2023-02-07T21:37:37;Landing
10;collaboration SSL;12454;2023-02-07T18:28:02;Account;Home sensor Wooden;2023-02-08T04:23:19;North
